timestamp,algo,device,max_side,content,style,params,time_ms,ssim_content,ssim_style
2025-09-21T18:26:42.745418,gatys,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\the_scream.jpg,steps=400,33595.47,0.5388,0.1621
2025-09-21T18:26:58.544512,adain_opt,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\the_scream.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",15566.36,0.3734,0.0478
2025-09-21T20:59:16.777631,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\DP130155.jpg,steps=400,26724.81,0.4220,0.1108
2025-09-21T20:59:28.287188,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\DP130155.jpg,"alpha=3,steps=400,opt=adam,tv=10000000000.0",11370.68,0.1778,0.0234
2025-09-21T20:59:54.537528,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,steps=400,25604.75,0.4804,0.1267
2025-09-21T21:00:06.078301,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,"alpha=3,steps=400,opt=adam,tv=10000000000.0",11335.80,0.1840,0.0367
2025-09-21T21:00:32.400459,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\abstract-style-1.jpg,steps=400,25674.13,0.4016,0.0680
2025-09-21T21:00:44.124968,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\abstract-style-1.jpg,"alpha=3,steps=400,opt=adam,tv=10000000000.0",11514.96,0.1930,0.0325
2025-09-21T21:01:10.736945,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\starry_night.png,steps=400,25498.45,0.3145,0.0323
2025-09-21T21:01:22.230750,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\starry_night.png,"alpha=3,steps=400,opt=adam,tv=10000000000.0",11205.04,0.1763,0.0177
2025-09-21T21:01:48.058790,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\the_scream.jpg,steps=400,25173.00,0.5346,0.1757
2025-09-21T21:01:59.453950,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\the_scream.jpg,"alpha=3,steps=400,opt=adam,tv=10000000000.0",11195.13,0.1972,0.0466
2025-09-21T21:02:25.549768,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\DP130155.jpg,steps=400,25333.83,0.4734,0.1378
2025-09-21T21:02:37.263565,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\DP130155.jpg,"alpha=3,steps=400,opt=adam,tv=10000000000.0",11201.64,0.2290,0.0252
2025-09-21T21:03:03.403719,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,steps=400,25241.78,0.4633,0.1313
2025-09-21T21:03:15.242827,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,"alpha=3,steps=400,opt=adam,tv=10000000000.0",11225.50,0.2284,0.0343
2025-09-21T21:03:41.222513,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\abstract-style-1.jpg,steps=400,25327.16,0.4206,0.0722
2025-09-21T21:03:52.589660,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\abstract-style-1.jpg,"alpha=3,steps=400,opt=adam,tv=10000000000.0",11238.05,0.2417,0.0276
